measles,german_measles
devilry,malicious_mischief
time_interval,processing_time
war_vessel,torpedo_boat
misadventure,crash
beating,flagellation
tonus,hypotonia
self-fertilization,autogamy
subversiveness,betrayal
dramatic_event,night_terror
spectrometer,mass_spectrograph
camera,camcorder
nut,stuffing_nut
subtraction,bite
auditory_ossicle,stapes
crawdad,american_crayfish
business_sector,big_business
illumination_unit,phot
swift,collocalia_inexpectata
scent,cense
sponsor,pillar_of_strength
window_sash,casement
horny_structure,nail
chamber,motel_room
tupi-guarani_language,tupi
gametocyte,spermatocyte
ward,shepherd
chari-nile,nilotic_language
vireo,vireo_solitarius_solitarius
latino,latino_sine_flexione
genus_antedon,genus_comatula
spinning_top,whipping_top
framework,window_frame
expenditure,burnup
autograph,holograph
owl,barn_owl
immune_serum_globulin,tetanus_immunoglobulin
sewing_needle,upholstery_needle
racing_boat,racing_shell
inaction,stasis
seventh_heaven,ecstasy
quantitative_analysis,gravimetric_analysis
cell,terrorist_cell
cry,yelping
physical_change,evaporation
top_executive,oil_tycoon
muslimism,wahabism
quamash,camassia_scilloides
flower,burst_forth
smokestack,funnel
machine_rifle,browning_automatic_rifle
concaveness,hollowness
villus,chorionic_villus
electrical_healing,electroshock_therapy
enlightenment,satori
logarithm,natural_logarithm
protease_inhibitor,invirase
annoying,red_flag
con,alternate
cinematography,animation
concerto,concerto_grosso
charge,recharge
housemaid,parlourmaid
frenchwoman,norman
molecular_formula,structural_formula
modifier,standardizer
mulberry_tree,morus_rubra
web_site,portal_site
durative,progressive_aspect
velocipede,pedicab
momentum,angular_momentum
frenzy,epidemic_hysertia
berm,hard_shoulder
growth,ingrowth
variola_virus,variola_minor_virus
kit,sewing_kit
sensing,smell
honoree,laureate
antiophthalmic_factor,dehydroretinol
troupe,minstrelsy
ingenuousness,artlessness
transmission,stick_shift
slave_dealer,white_slaver
solomon's-seal,polygonatum_biflorum
carillon,change_ringing
israeli_monetary_unit,agora
bath_towel,turkish_towel
tail_feather,sickle_feather
resolving,diagonalisation
email,spam
sulfate,zinc_vitriol
cable,ground_cable
protector,watchdog
restorative,pack
asexual_reproduction,pullulation
misunderstanding,misreading
beneficence,grace_of_god
breast,bosom
neighbourhood,street
church_member,parishioner
actualisation,objectification
religious_leader,guru
oil_painting,canvas
line_of_defence,abatis
typewriter_keyboard,qwerty_keyboard
laterality,right-handedness
chirp,twitter
mastermind,proposer
tessera,tessella
abundance,superabundance
emotional_person,spitfire
honours,first-class_honours_degree
metal_money,coin
bunch,swad
linguistic_process,reading
life_jacket,mae_west
tax_write-off,exemption
companion,tovarich
p.o.,scpo
simpleness,effortlessness
pipet,dropper
alloy_iron,ni-resist
mocking_thrush,toxostoma_rufums
antimicrobic,sodium_hypochlorite
ovolo,echinus
rate_of_interest,usury
disunion,detribalisation
tomography,radiology
researcher,postdoc
men,full_complement
automation,computerization
settlement,accord_and_satisfaction
ignitor,match
cream_puff,eclair
stinkiness,body_odour
backup_man,alternate
stare,stargaze
absolute_value,modulus
opsanus_tau,oyster_fish
journeyer,pilgrim
oldness,hoariness
crater,lunar_crater
kazakhstani_monetary_unit,tiyin
hyperemesis,hyperemesis_gravidarum
untidiness,disorderliness
hereditary_condition,hepatolenticular_degeneration
playing_card,wild_card
betrothal,ringing
bacon,canadian_bacon
cotinga,umbrella_bird
small_intestine,ileum
observation_station,sampling_station
crack-up,nervous_breakdown
misdeed,indiscretion
dry-wood_termite,powder-post_termite
social_dancer,waltzer
prince's_pine,love-in-winter
internalisation,introjection
big_wheel,supremo
adaptation,light_adaptation
steel_factory,rolling_mill
humour,comicality
indo-iranian,iranian_language
brokerage_firm,marriage_mart
surgery,vivisection
factor,factor_of_proportionality
teacake,sally_lunn
landing_field,auxiliary_airfield
free_weight,dumbbell
geometrid_moth,alsophila_pometaria
stain,vein
parting,valediction
vocal_organ,voice_box
scincid,eumeces_callicephalus
american_football_game,touch_football
muskrat_fur,hudson_seal
tallow,mutton_tallow
mystery,murder_mystery
rhabdosarcoma,pleomorphic_rhabdosarcoma
drink,quaff
idiomatic_expression,rusticism
scissure,vent
shitting,urochezia
writing,inscription
celestial_orbit,geosynchronous_orbit
life-style,vanity_fair
suet_pudding,spotted_dick
caseworker,medical_social_worker
inundation,noah_and_the_flood
details,low-down
vender,underseller
contour,streamline
meaninglessness,aimlessness
magnitude,extensiveness
hardheartedness,ruthlessness
home_run,solo_homer
royal_purple,tyrian_purple
bathhouse,sudatory
commodiousness,seating_capacity
western_malayo-polynesian,filipino
overshoe,golosh
debater,wrangler
gold_panner,forty-niner
bathing,sun_bathing
abstract_art,op_art
muscle_fibre,smooth_muscle_cell
faucet,cock
antilepton,antielectron
afterimage,aftertaste
region,laboratory
compeer,townsman
egyptian_deity,amon
alveolitis,bagascosis
tabletop,countertop
power_mower,riding_mower
variable_quantity,vector
digestion,gastric_digestion
dumpcart,tumbrel
fresh_water,condensate
imaginary_place,wonderland
running_play,rush
minor_planet,kuiper_belt_object
incumbent,office-bearer
snooze,zizz
coccid_insect,mealy_bug
drive,drive_around
tear,rip
testimony,testament
abuse,curse
mail_pouch,diplomatic_pouch
ice-skater,speed_skater
brio,sprightliness
textual_criticism,masora
multiplexer,data_multiplexer
essentiality,indispensability
indian_lettuce,cuban_spinach
assurance,clean_bill_of_health
whelp,puppy
homo_sapiens,modern_man
enticement,allurement
soundtrack,laugh_track
alkaloid,tubocurarine
study,grind_away
comic_opera,light_opera
fibrovascular_bundle,nervure
dissent,renegade
bucket,wine_cooler
artillery,battery
pluton,granite
mistake,confound
international_law_enforcement_agency,interpol
embayment,guantanamo_bay
ass-kisser,goody-goody
endive,belgian_endive
antidiuretic,lypressin
typhus_fever,murine_typhus
plastic_wrap,saran_wrap
nuthatch,sitta_carolinensis
chafing,intertrigo
peduncle,pedicle
glyceryl_ester,glycerol_tristearate
eyetooth,fang
buttery,stillroom
stickleback,ten-spined_stickleback
wood_mint,blephilia_celiata
emulation,terminal_emulation
casava,manihot_dulcis
dutch_people,frisian
kinship,marital_relationship
tatter,pine-tar_rag
kicker,punter
advertising_campaign,public-relations_campaign
farm,ranch
saffron,ochre
sea_creature,bycatch
stage_dancing,nude_dancing
hijacker,padder
bio-assay,pregnancy_test
hog,porker
audaciousness,presumption
building_block,voussoir
footstall,socle
willfulness,wildness
extraterrestrial_object,comet
dwarf,andvari
information_gathering,intelligence
cholecystectomy,laparoscopic_cholecystectomy
manse,stately_home
helm,wheel
generousness,unselfishness
carboxylic_acid,propenoic_acid
oral_presentation,public_debate
clupeid,sardine
chomp,pinch
atom_bomb,neutron_bomb
anaerobe,obligate_anaerobe
pressor,nicotine
congress,continental_congress
palmetto,cabbage_palmetto
classicist,latinist
category,way
legal_relation,fiduciary_relation
service_club,rotary_international
training_school,borstal
clam,long-neck_clam
transcription,phonetic_transcription
transducing_vector,viral_delivery_vector
evolutionism,theory_of_punctuated_equilibrium
shrike,bush_shrike
respite,spring_break
stabilisation,equilibration
cast_of_characters,supporting_players
secret_agent,walk-in
autoantibody,rheumatoid_factor
cocain,crack_cocaine
spectral_colour,complementary_color
dispossession,retaliatory_eviction
carte_du_jour,table_d'hote
dapple,stipple
blighter,dog
goldenbush,rabbit_brush
birdnest,aery
enjoinment,temporary_injunction
american_language,black_vernacular
anthropoid_ape,pongid
tinned_meat,spam
harshness,murderousness
drafting_instrument,t-square
holy_order,subdeacon
recusant,maverick
prediction,prophecy
inscription,superscription
whip-scorpion,vinegarroon
dividend,numerator
circuit,whistle-stop_tour
digitalis,yellow_foxglove
pureness,cleanness
dilleniid_dicot_genus,genus_camellia
nomenclature,toponymy
invariable,parametric_quantity
impossibleness,unattainableness
tulipwood_tree,harpullia
profoundness,bottomlessness
natural_glass,tektite
oral_contraceptive,ovulen
quetzal,resplendent_trogon
military_drill,square-bashing
reality,historicalness
chalcedony,sardius
incompatibility,incongruity
weave,braid
cohesiveness,continuity
bronchopneumonia,aspiration_pneumonia
sex_characteristic,virilism
muscle,smooth_muscle
fiduciary_relation,trustee-beneficiary_relation
finisher,stitcher
gnat,black_fly
mimicry,takeoff
mental_home,booby_hatch
antibiotic_drug,viocin
colombian_monetary_unit,peso
dyskinesia,tardive_dyskinesia
officialdom,civil_service
glimpse,side-look
social_group,jewry
dry_measure,united_states_dry_unit
teuton,goth
radiograph,autoradiograph
wild_ox,asian_wild_ox
citadel,kremlin
emoticon,smiley
linesman,gaffer
forgoing,abnegation
water_gage,water_level
yarn,worsted
gallinaceous_bird,game_bird
haircare,hairweaving
sermonizer,gospeller
falsehood,forgery
true_frog,rana_temporaria
teacher,teaching_fellow
retinopathy,diabetic_retinopathy
economic_policy,protectionism
cathouse,massage_parlor
streamline_flow,laminar_flow
atomic_number_1,tritium
homo,homo_rhodesiensis
clinical_trial,phase_iv
hawkishness,warmongering
secrecy,hiding
stairs,ladder
tetragram,tetragrammaton
paved_surface,taxi_strip
united_states_liquid_unit,bbl
salutation,visiting_card
feast_day,id_al-adha
supposal,presupposition
lining,babbitting
hunting,predation
shibboleth,battle_cry
strife,discord
phylogenesis,speciation
teaching,work-study_program
abalone,ormer
granulocytic_leukemia,chronic_myelocytic_leukemia
formula,empirical_formula
prison_term,life_sentence
lanthanoid,terbium_metal
coldness,tepidness
mimosa,humble_plant
depository,sperm_bank
softwood,pulpwood
important_person,worthy
carbamate,ammonium_carbamate
pustule,pock
diacritical_mark,umlaut
vein_of_penis,vena_profunda_penis
waste,sphacelate
moonseed,carolina_moonseed
dissimulator,whited_sepulcher
sea_steps,accommodation_ladder
bulgarian_monetary_unit,stotinka
murre,thick-billed_murre
calibration,tuning
improbableness,unlikelihood
pathologist,aetiologist
damnation,fire_and_brimstone
predicament,hot_water
fiend,dybbuk
granter,grantor
cricketer,wicket-keeper
exponential_decay,relaxation_behavior
agon,pythian_games
salivary_gland,submaxillary_gland
egis,plastron
bibliothec,cataloguer
bowling,no_ball
deafness,deaf-mutism
teleselling,telephone_order
saturation_point,dew_point
negation,cancellation
parallel,tropic
conservatism,reaction
side_arm,zip_gun
sea_gull,kittiwake
attack,tackle
alkane_series,methane
zebra_crossing,school_crossing
bottom-dweller,mullet
pulley,idler_pulley
third_house,national_rifle_association
offer,underbid
thoughtfulness,reflectivity
anthozoan,coral
roe,shad_roe
receipts,gate
twine,packthread
sterilisation,pasteurization
well-being,health
co-ordinate,polar_coordinate
frontal,frontispiece
pomatum,brilliantine
cultivator,harrow
malacopterygian,regalecus_glesne
credulity,overcredulity
anaglyph,cameo
gap,barracking
chiropteran,fruit_bat
table_knife,steak_knife
favoritism,sexism
fitness,fettle
prep_school,choir_school
peptide,endorphin
straight_person,fucker
pizza_pie,sicilian_pizza
crackling,decrepitation
clarinet,b-flat_clarinet
audio_system,reproducer
boat_race,sailing-race
temper,querulousness
frog,south_american_poison_toad
enamelware,graniteware
storminess,rough_water
abjection,depth
optical_disc,videodisk
nook,chimney_corner
sour_cherry,morello
science_lab,physics_laboratory
lindane,kwell
rainfall,shower
arteria_alveolaris,superior_alveolar_artery
species,type_species
clianthus,parrot's_beak
theatre_curtain,safety_curtain
diver,scuba_diver
ecclesiastical_benefice,sinecure
mortgage,chattel_mortgage
laurel,california_laurel
journalese,luridness
squealer,nark
saxophonist,tenor_saxophonist
vehicle,wheeled_vehicle
gopher,arctic_ground_squirrel
headscarf,khimar
anaesthesia,topical_anaesthesia
publishing_company,magazine
rhus_dermatitis,poison_sumac
cheat,job
supplicant,solicitor
porousness,permeability
tranquility,relaxation
inorganic_compound,carbide
quartette,quadrumvirate
desolation,blight
grandchild,great_grandchild
constipation,obstipation
shore,bolster
streptomyces,potato_scab_bacteria
poison-berry,solanum_burbankii
ethanoate,sugar_of_lead
poor_person,pauper
stabiliser,anti-sway_bar
interdependence,sharing
social_service,casework
idealist,romantic
discount_rate,bank_rate
milk_cow,guernsey
desire,long
wage_scale,sliding_scale
fringe_benefit,apanage
golem,mechanical_man
rale,crepitation_rale
revolution,spin
service_tree,amelanchier_bartramiana
hiatus,foramen_magnum
steganography,decoding
crossbreed,monohybrid
ration,field_ration
unattractiveness,shapelessness
avitaminosis,night_blindness
desoxyribonucleic_acid,transposon
communicating,traffic
sprightliness,peppiness
return_ticket,day_return
computer_guru,unix_guru
imperial_capacity_unit,chaldron
bornean,bruneian
council_chamber,divan
local_time,bering_standard_time
conceptuality,perception
bludgeon,blackjack
absentee,hooky_player
bedroom_furniture,bed
incarnation,reincarnation
pull,recommit
gait,waddle
tensor,tensor_tympani
veterinary_surgeon,horse_doctor
sauce,newburg_sauce
outwardness,worldliness
self-discipline,mortification
jerky,biltong
male_child,shop_boy
rigidifying,rigor_mortis
concerted_music,counterpoint
c,adamant
sect,pro-life_faction
training,toilet_training
travel_guidebook,baedeker
plant,smeltery
small_businessman,concessionaire
eccentric,wacko
oceanic_bird,diving_petrel
tapping,rat-a-tat-tat
cavum,fossa
schizophrenia,acute_schizophrenic_episode
minute,psychological_moment
thaumaturgist,witch_doctor
steroid,anabolic_steroid
iridaceae,genus_iris
burgrass,cenchrus_ciliaris
batsman,whiffer
viceroy,khedive
butchery,bloodshed
filago,filago_germanica
courting,bundling
outer_garment,snowsuit
preserve,corn
perturbation,surprisal
waiter,lurcher
depigmentation,poliosis
field_game,ultimate_frisbee
tomcat,gib
bridgehead,beachhead
feature_film,horse_opera
raccoon,procyon_cancrivorus
kale,collards
consumer_loan,auto_loan
political_entity,revolutionary_group
kayo,technical_knockout
intravenous_injection,fix
modal_logic,doxastic_logic
yearbook,ephemeris
endameba,endamoeba_histolytica
austro-asiatic_language,mon-khmer
health_insurance,hmo
sledge_dog,siberian_husky
windiness,flatulence
complex_sentence,periodic_sentence
tough_guy,ted
leave,drop_out
kingsnake,milk_adder
oceanology,hydrography
testator,testatrix
manipulator,fiddler
pinyon,pinus_quadrifolia
non-standard_speech,slang
three-base_hit,line_triple
hellenic_language,ancient_greek
water_chestnut_plant,ling_ko
sensibility,photosensitivity
reddish_blue,indigo
libidinal_energy,acathexis
rhythmicity,lilt
dugout,funk_hole
shutter,jalousie
kanarese,badaga
copper_sulphate,blue_copperas
chance,happen
idealization,sentimentalization
natural_state,primitiveness
glue,marine_glue
carry,chariot
scout,girl_scout
serialism,twelve-tone_music
tactile_property,texture
rock_brake,cryptogramma_crispa
attendee,symposiast
leeward,leeward_side
musical_phrase,ligature
mammalian,fossorial_mammal
latent_heat,heat_of_vaporization
noisiness,boisterousness
stockpile,fuel_level
old_maid,little_golden_zinnia
beriberi,kakke_disease
nb,columbium
diapsid_reptile,serpent
monoamine,monoamine_neurotransmitter
spectrum,color_spectrum
ball_carrier,rusher
shake,convulse
deadness,frigidity
hypolipoproteinemia,hypobetalipoproteinemia
ocular_muscle,superior_rectus_muscle
desiccation,inspissation
readiness,alert
gummed_label,ex_libris
safety_device,safety_lock
rotor,anti-torque_rotor
team,crew
lantern,jack-o'-lantern
sledding,bobsledding
chestnut_tree,chinquapin
skin_colour,whiteness
cyprinid,crucian_carp
golden_aster,sickleweed_golden_aster
tachometer,tachograph
conceitedness,posturing
dishcloth_gourd,angled_loofah
cypriniform_fish,poeciliid_fish
reproductive_organ,nipple
printing_machine,typesetting_machine
panelling,wall_panel
tenancy,habitation
miracle,transfiguration
nudity,bareness
mural,fresco
bench,laboratory_bench
salesperson,salesman
infertility,dysgenesis
trouble,jolt
procyonid,ailuropoda_melanoleuca
importance,primacy
lift,dignify
plastic_art,sculpture
oxidisation,rusting
somatic_cell_nuclear_transplantation,therapeutic_cloning
achromycin,minocin
exchangeability,transposability
allurement,invitation
holdup,lingering
snap-brim_hat,porkpie_hat
drill,hammer_in
serranid,soapfish
rock_plant,rupestrine_plant
pipit,anthus_pratensis
transcriber,orchestrator
hindooism,vedism
plumb_line,plumb_rule
minister,secretary_of_state
peroxide,benzoyl_peroxide
prohibition,interdiction
transaminase,glutamic_oxaloacetic_transaminase
obstruction,check
plumbing_fixture,urinal
photographer,press_photographer
performing_artist,ventriloquist
thigh,lap
trustworthiness,responsibleness
rockweed,ascophyllum_nodosum
position,line_up
oxidase,peroxidase
natural_covering,indusium
storage_space,stacks
dogma,credendum
systematist,divider
lygus_bug,lygus_lineolaris
true_fir,abies_bracteata
roost,henroost
serving,libation
awkwardness,rusticity
pussytoes,mountain_everlasting
disambiguation,lexical_disambiguation
torch,oxyacetylene_torch
burger,cheeseburger
wire,rewire
wireless,radiotelegraph
wrecking_bar,jimmy
polystyrene,styrofoam
rates,poor_rates
calcification,ossification
shock_therapy,metrazol_shock
research,cast_around
yugoslavian_monetary_unit,para
nevus,strawberry_mark
application,word_processing_system
garden_snail,helix_hortensis
essay,thanatopsis
magnetization,magnetic_flux
hostility,force
sleep,kip
cosmopolite,globetrotter
bandeau,uplift
haberdashery_store,slopseller's_shop
apprentice,printer's_devil
novice,tenderfoot
peak,head
tape_recorder,vcr
chorus,ensemble
european,monacan
virus_infection,viral_pneumonia
dentition,secondary_dentition
antic,practical_joke
excitement,thrill
chassis,radio_chassis
subverter,girondist
provitamin,carotene
telecom_equipment,television_system
petrol,unleaded_petrol
security_system,firewall
cast_iron,pot_metal
funeral_undertaker,embalmer
sonata,symphony
gudgeon,mudspringer
acceptation,embrace
free-reed_instrument,reed_organ
developer,short-stop
skin_patch,estradiol_patch
twitch,skitter
tightening,take-up
decease,wrongful_death
absence,subclinical_absence
logic_element,threshold_element
plectognath,mola
forelimb,foreleg
soaring,parasailing
sensory_system,vestibular_apparatus
cookout,burgoo
cooking_apple,rome_beauty
ammobium,winged_everlasting
key,telegraph_key
verbal_description,spec
seasoner,cassareep
shell_bean,green_soybean
idolatry,iconolatry
centaur,chiron
piece_of_music,incidental_music
bryophyte,liverwort
ambitiousness,status_seeking
ugrian,vogul
paring,turning
cloning,therapeutic_cloning
depth_finder,sonic_depth_finder
aquila_chrysaetos,ringtail
spree,spending_spree
registrar,rapporteur
reading_material,bumf
training_program,preemployment_training_program
prisoner,pow
cavalry_sword,scimitar
dropseed,sand_dropseed
brochure,ticket_book
plasma,interplanetary_gas
season,savor
major_planet,terrestrial_planet
vaccinum,proteosome
cytotoxin,enterotoxin
brokenheartedness,dolour
wood_aster,large-leaved_aster
wretchedness,suffering
headland,point
steak,beefsteak
feast_of_the_unleavened_bread,pascha
causing,inducing
antineoplastic_drug,thiotepa
hospital_room,recovery_room
radio_reflector,radio_interferometer
heuristic_rule,lateral_thinking
nahuatl,toltec
vulture,moss-trooper
theft,rustling
gravity,seriousness
sediment,evaporite
church_officer,vestrywoman
superior_skill,artistry
family_chenopodiaceae,genus_beta
invitee,wedding_guest
inflation,stagflation
poster_child,poster_girl
epithelial_cell,taste_cell
nerve_tissue,gray_substance
macrophage,histiocyte
entomologist,lepidopterist
infielder,third_baseman
dark,wedding_night
cayman,spectacled_caiman
ancestor,primogenitor
representative,rep
sound_recording,talking_book
tuberosity,deltoid_tuberosity
glycoprotein,mucoid
classroom,study_hall
calla,golden_calla
gymnast,tumbler
theologist,preterist
ermine,stoat
riding,trail_riding
parlour,salon
intake,drinking
visionary,forecaster
switch,rattan
monetary_value,inexpensiveness
inference,presumption
athletic_field,bowling_green
advancement,work_flow
flooded_gum,eucalypt_tereticornis
weight_unit,welterweight
nominee,write-in
angelique,angelica_sylvestris
aloofness,unapproachability
markov_process,markoff_chain
bollworm,corn_earworm
moa,anomalopteryx_oweni
wanted_poster,red_notice
ferryboat,car-ferry
turtledove,ringdove
override,neutralization
ornithischian_dinosaur,ornithopod_dinosaur
true_statement,tautology
calyx,pappus
badness,prankishness
mixed-blood,metis
cost,set_back
jack,seriola_grandis
international_organization,world_trade_organization
anxiety,angst
scorpionfish,scorpaena_grandicornis
unsteadiness,instability
unawareness,unselfconsciousness
enchantment,captivation
nuclear_reactor,water-cooled_reactor
neatness,trim
indorsement,protection
onyx,sardonyx
nerve,nervus_ulnaris
group,brigade
motion,migration
raiment,war_paint
fancier,technophile
geographer,map_maker
flame_nettle,solenostemon_blumei
data_rate,channel_capacity
title_deed,muniments
dialysis,haemodialysis
vanquisher,subjugator
verse_form,versicle
multiplication,tripling
chordophone,mandolin
united_nations_agency,world_meteorological_organization
implement,writing_implement
wicker_basket,pannier
laudator,applauder
noblesse,purple
coronary_failure,heart_attack
bowstring_hemp,sansevieria_trifasciata
effort,detrition
manufacture,prefabrication
article_of_clothing,woman's_clothing
beaked_whale,bottlenose_whale
phagocyte,free_phagocyte
herpes_simplex,herpes_simplex_2
common_salt,rock_salt
trade_book,best_seller
undercut,pork_tenderloin
enjoyment,fruition
vacuum_bottle,thermos
meddler,kibitzer
goad,gad
fruit_crush,pineapple_juice
random_access_memory,core_memory
red_bordeaux,saint_emilion
manservant,valet
hydroxide,sodium_hydroxide
equinox,autumnal_equinox
gnome,murphy's_law
shrew,cryptotis_parva
abstinence,sawm
superintendent,school_superintendent
throwing_stick,kylie
clover_fern,marsilea_quadrifolia
talkativeness,leresis
amercement,library_fine
plica,tentorium
legal_holiday,victoria_day
relocation,overspill
conoid,funnel
infallibility,papal_infallibility
dissolution,invalidation
servitude,villainage
convict,reconvict
sprig,withe
leucopenia,neutropenia
lowerclassman,soph
roping,steer_roping
spanish_pointer,hungarian_pointer
pervert,sodomite
assay,bioassay
fingerprint,thumbprint
flicker,red-shafted_flicker
monastic_order,society_of_jesus
nondevelopment,agenesis
derision,mock
feud,blood_feud
punk,bully
venae_renis,venae_interlobulares_renis
song,two-note_call
enteropathy,intestinal_obstruction
tip_sheet,scratch_sheet
flatfish,sole
polygon,spherical_polygon
pearlite,granular_pearlite
calf,box_calf
leadership,generalship
long-distance_call,toll_call
kin,affine
horn,shophar
mahayana,yogacara
end_product,turning
colours,ensign
mental_case,psychopath
major_diatonic_scale,c_major_scale
glasswork,venetian_glass
cirrus,mare's_tail
believer,vitalist
nsaid,salicylate
trade_rat,neotoma_fuscipes
saltation,pounce
homecoming,repatriation
convergence,merging
three-dimensional_figure,sculpture
kingbird,tyrannus_domenicensis_domenicensis
metamorphic_rock,schist
judge,qualify
academic_requirement,language_requirement
sheet_metal,tinplate
organic_phenomenon,sex_linkage
junction,thermojunction
unpalatableness,disgustingness
sea_bird,sphenisciform_seabird
pocket_rat,kangaroo_mouse
dormouse,lerot
world_council,world_council_of_churches
forger,paperhanger
filmmaker,new_waver
maidenhead,imperforate_hymen
sculpture,modeling
cottonwood,swamp_poplar
sea_lion,steller's_sea_lion
impact_printer,wire_matrix_printer
crockery,ovenware
receiver,headset
custodian,zoo_keeper
idol,heartthrob
unskillfulness,amateurishness
caramel,snuff-color
black_music,rhythm_and_blues
decennary,1790s
army_hut,quonset_hut
herniation,umbilical_hernia
attending,presence
woodenware,wooden_spoon
armerican_cheddar,rat_cheese
cordierite,water_sapphire
odor,acridity
greenfly,pale_chrysanthemum_aphid
wren,cactus_wren
stochastic_process,stationary_stochastic_process
southerner,good_ole_boy
explosive_mixture,blasting_gelatin
voltage,resting_potential
jaundice,kernicterus
lip_service,crocodile_tears
body_part,rudiment
connective_tissue,granulation_tissue
spaniel,water_spaniel
constant,factor_of_proportionality
extreme_right-winger,blimp
glacier,piedmont_glacier
facial_expression,wince
recess,mihrab
natural_immunity,racial_immunity
dedication,faith
ability,module
loaf,scrapple
long-horned_beetle,sawyer
passkey,skeleton_key
voodooism,hoodoo
whitefly,sweet-potato_whitefly
disbursal,compensatory_spending
crownbeard,frost-weed
arousal,feel
plank,deal
boon,mercy
compensation,indemnification
coonhound,black-and-tan_coonhound
ruby_spinel,rubicelle
rime,alliterate
imperfectness,wart
gun_muzzle,gunpoint
augustinian,austin_friar
brickwork,nogging
invisibility,inconspicuousness
flowering_tree,spice_tree
tenor,drift
fixing_agent,sodium_thiosulphate
ant,bulldog_ant
moldovan_monetary_unit,leu
narration,nursery_rhyme
jock,winger
rate_of_growth,isometry
densimeter,dasymeter
product,filtrate
charlotte,charlotte_russe
impregnation,superfetation
jaw,maxillary
phototropic_bacteria,purple_bacteria
article_of_commerce,tinware
pilosity,hirsutism
aborigine,seychellois
diligence,sedulity
high-low-jack,old_sledge
involution,group_participation
cannon,lower_cannon
foghorn,diaphone
coastguard,u._s._coast_guard
university,open_university
pendent,lavalliere
indiscipline,unrestraint
airfoil,vertical_tail
hard_drug,diacetylmorphine
thermodynamics,thermodynamics_of_equilibrium
black_lead,pencil
windflower,snowdrop_windflower
cavalryman,rough_rider
cephalosporin,cephalothin
grape_juice,must
muscovite,damourite
crisis,pinch
freewheeler,free-liver
feldspar,moonstone
wild_plum_tree,islay
sulfonylurea,tolbutamide
fisticuffs,punch-up
great_grandchild,great_grandson
respirator,iron_lung
originality,heterodoxy
gang,stage_crew
herring,whitebait
automobile_insurance,no_fault_insurance
niggard,pinchgut
dammar_pine,red_kauri
chiaroscuro,grisaille
diversion,diversionary_landing
out_of_bounds,touchline
coarseness,sandiness
forecaster,astrologist
air,flight
bronc,bucking_bronco
hose,water_cannon
talinum_aurantiacum,talinum_spinescens
neck_ruff,fraise
visual_percept,field_of_vision
throng,herd
cultural_movement,humanism
car_mirror,rearview_mirror
bomber,stealth_bomber
obsession,onomatomania
worm_genus,genus_haemopis
teaching_reading,whole-word_method
funeral,sky_burial
edible_fat,oil
copper,american_copper
mantid,praying_mantis
fixed_costs,due
soaking_up,imbibition
abasia,spastic_abasia
rauwolfia,rauwolfia_serpentina
speed_indicator,machmeter
dungeon,oubliette
error,algorithm_error
rendition,spin
straight_line,vector
crane,grus_americana
rubbish,litter
share-out,giving
causa,bastardy_proceeding
court_game,pallone
buddhist,mon
serpent,viper
nucleoside_reverse_transcriptase_inhibitor,lamivudine
streamer,pennoncel
lumber,planking
formality,stateliness
garden_pea,split-pea
breaking,chipping
parliamentary_law,previous_question
manifold,proliferate
fruit_bat,cynopterus_sphinx
passionflower,wild_water_lemon
migrant,settler
falco_peregrinus,falcon-gentil
aboriginal_australian,warlpiri
fund,bankroll
pink,fringed_pink
evidence,state's_evidence
southern_beech,nothofagus_truncata
chloroacetophenone,mace
poseur,poseuse
wild_oats,uvularia_grandiflora
critic,roaster
hard-shell_clam,cherrystone_clam
household_appliance,white_goods
show-off,grandstander
alertness,jealousy
rejection,short_shrift
hamelia,coloradillo
skin_care,facial
research_rocket,sounding_rocket
clarified_butter,ghee
misfortune,knock
golf_hole,dogleg
deposit,margin
sexism,sexual_discrimination
edge,wayside
main_office,mukataa
bass_horn,bombardon
accessary,partner_in_crime
bodybuilding,weight_gaining
ice_skating,figure_skating
lapel,revere
platyhelminth,tapeworm
ruction,hustle
venezuelan_monetary_unit,bolivar
custard_apple,pond_apple
animal_oil,wool_oil
cooling,refrigeration_system
climatic_zone,subtropics
vacuum,hoover
jewelry,tie_clip
borrower,freeloader
wild_horse,przewalski's_horse
alarmist,stirrer
passing_play,spot_pass
nobility,samurai
disturbance,white_noise
immorality,sexual_immorality
sickness,qualm
maniraptor,mononychus_olecranus
storage_medium,magnetic_medium
paraphrasis,translation
present_tense,historical_present
seating_area,tiered_seat
spleenwort,asplenium_billotii
winter_squash,winter_crookneck_squash
tidal_current,tidal_bore
pollution,water_pollution
revelation,news_leak
orthophosphate,sodium_phosphate
turnip,swede
rosebush,rosa_odorata
medical_man,inoculator
phospholipid,lecithin
publishing,serialisation
citizen,voter
guenon,african_green_monkey
uniformity,consistence
floater,berg
pressman,war_correspondent
carpel,mericarp
grantor,alienor
gecko,banded_gecko
positivist,logical_positivist
putsch,countercoup
oil_of_vitriol,electrolyte_acid
sea_bream,chrysophrys_australis
premier,taoiseach
medium,broadcast_medium
transverse_flute,piccolo
flower_bud,clove
fencing,weir
apartment,walk-up
eremite,hermit
magniloquence,claptrap
skua,great_skua
intractability,disobedience
abstract,absolute
organophosphate_nerve_agent,tabun
chemical_mechanism,biochemical_mechanism
nude_dancing,bubble_dance
tunny,yellowfin_tuna
consciousness,sense
